y,ds
294,03/08/2012
305,03/08/2013
287,03/08/2014
305,03/08/2015
392,03/08/2016
238,03/09/2011
326,03/09/2012
306,03/09/2013
327,03/09/2014
318,03/09/2015
390,03/09/2016
249,03/10/2011
290,03/10/2012
236,03/10/2013
337,03/10/2014
327,03/10/2015
392,03/10/2016
295,03/11/2011
290,03/11/2012
280,03/11/2013
331,03/11/2014
331,03/11/2015
420,03/11/2016
270,03/12/2011
244,03/12/2012
246,03/12/2013
278,03/12/2014
334,03/12/2015
418,03/12/2016
271,03/13/2011
303,03/13/2012
293,03/13/2013
321,03/13/2014
346,03/13/2015
345,03/13/2016
245,03/14/2011
296,03/14/2012
298,03/14/2013
335,03/14/2014
392,03/14/2015
340,03/14/2016
249,03/15/2011
277,03/15/2012
273,03/15/2013
360,03/15/2014
358,03/15/2015
368,03/15/2016
284,03/16/2011
341,03/16/2012
368,03/16/2013
324,03/16/2014
335,03/16/2015
380,03/16/2016
303,03/17/2011
355,03/17/2012
342,03/17/2013
317,03/17/2014
367,03/17/2015
384,03/17/2016
249,03/18/2011
340,03/18/2012
290,03/18/2013
260,03/18/2014
319,03/18/2015
411,03/18/2016
296,03/19/2011
262,03/19/2012
281,03/19/2013
325,03/19/2014
366,03/19/2015
379,03/19/2016
279,03/20/2011
266,03/20/2012
237,03/20/2013
319,03/20/2014
388,03/20/2015
359,03/20/2016
259,03/21/2011
261,03/21/2012
280,03/21/2013
304,03/21/2014
348,03/21/2015
405,03/21/2016
257,03/22/2011
289,03/22/2012
280,03/22/2013
316,03/22/2014
321,03/22/2015
376,03/22/2016
255,03/23/2011
311,03/23/2012
296,03/23/2013
293,03/23/2014
318,03/23/2015
430,03/23/2016
260,03/24/2011
268,03/24/2012
274,03/24/2013
297,03/24/2014
348,03/24/2015
437,03/24/2016
259,03/25/2011
248,03/25/2012
273,03/25/2013
335,03/25/2014
298,03/25/2015
434,03/25/2016
313,03/26/2011
268,03/26/2012
256,03/26/2013
317,03/26/2014
336,03/26/2015
337,03/26/2016
235,03/27/2011
264,03/27/2012
270,03/27/2013
333,03/27/2014
344,03/27/2015
366,03/27/2016
203,03/28/2011
283,03/28/2012
