y,ds
292,09/16/2013
389,09/16/2014
419,09/16/2015
428,09/16/2016
349,09/17/2011
256,09/17/2012
352,09/17/2013
374,09/17/2014
379,09/17/2015
451,09/17/2016
320,09/18/2011
282,09/18/2012
286,09/18/2013
425,09/18/2014
398,09/18/2015
397,09/18/2016
277,09/19/2011
261,09/19/2012
300,09/19/2013
464,09/19/2014
467,09/19/2015
406,09/19/2016
252,09/20/2011
318,09/20/2012
304,09/20/2013
443,09/20/2014
342,09/20/2015
402,09/20/2016
256,09/21/2011
346,09/21/2012
363,09/21/2013
369,09/21/2014
394,09/21/2015
371,09/21/2016
269,09/22/2011
331,09/22/2012
286,09/22/2013
314,09/22/2014
338,09/22/2015
352,09/22/2016
294,09/23/2011
325,09/23/2012
325,09/23/2013
293,09/23/2014
384,09/23/2015
436,09/23/2016
301,09/24/2011
322,09/24/2012
328,09/24/2013
308,09/24/2014
396,09/24/2015
404,09/24/2016
306,09/25/2011
253,09/25/2012
299,09/25/2013
351,09/25/2014
395,09/25/2015
367,09/25/2016
306,09/26/2011
283,09/26/2012
305,09/26/2013
391,09/26/2014
403,09/26/2015
379,09/26/2016
312,09/27/2011
298,09/27/2012
339,09/27/2013
406,09/27/2014
415,09/27/2015
367,09/27/2016
297,09/28/2011
304,09/28/2012
314,09/28/2013
346,09/28/2014
333,09/28/2015
387,09/28/2016
275,09/29/2011
308,09/29/2012
284,09/29/2013
340,09/29/2014
363,09/29/2015
342,09/29/2016
304,09/30/2011
294,09/30/2012
292,09/30/2013
330,09/30/2014
349,09/30/2015
396,09/30/2016
308,10/01/2011
289,10/01/2012
294,10/01/2013
340,10/01/2014
355,10/01/2015
430,10/01/2016
327,10/02/2011
277,10/02/2012
355,10/02/2013
332,10/02/2014
394,10/02/2015
407,10/02/2016
286,10/03/2011
284,10/03/2012
320,10/03/2013
374,10/03/2014
354,10/03/2015
427,10/03/2016
280,10/04/2011
282,10/04/2012
284,10/04/2013
322,10/04/2014
400,10/04/2015
376,10/04/2016
276,10/05/2011
310,10/05/2012
285,10/05/2013
354,10/05/2014
368,10/05/2015
383,10/05/2016
289,10/06/2011
244,10/06/2012
280,10/06/2013
295,10/06/2014
352,10/06/2015
366,10/06/2016
249,10/07/2011
314,10/07/2012
323,10/07/2013
343,10/07/2014
374,10/07/2015
384,10/07/2016
250,10/08/2011
284,10/08/2012
320,10/08/2013
342,10/08/2014
351,10/08/2015
372,10/08/2016
306,10/09/2011
275,10/09/2012
307,10/09/2013
289,10/09/2014
408,10/09/2015
337,10/09/2016
264,10/10/2011
306,10/10/2012
313,10/10/2013
379,10/10/2014
406,10/10/2015
371,10/10/2016
238,10/11/2011
292,10/11/2012
305,10/11/2013
348,10/11/2014
365,10/11/2015
393,10/11/2016
252,10/12/2011
263,10/12/2012
331,10/12/2013
309,10/12/2014
363,10/12/2015
361,10/12/2016
263,10/13/2011
310,10/13/2012
275,10/13/2013
317,10/13/2014
308,10/13/2015
383,10/13/2016
271,10/14/2011
288,10/14/2012
254,10/14/2013
329,10/14/2014
373,10/14/2015
401,10/14/2016
297,10/15/2011
317,10/15/2012
230,10/15/2013
319,10/15/2014
368,10/15/2015
399,10/15/2016
269,10/16/2011
298,10/16/2012
277,10/16/2013
297,10/16/2014
398,10/16/2015
427,10/16/2016
225,10/17/2011
273,10/17/2012
266,10/17/2013
299,10/17/2014
431,10/17/2015
343,10/17/2016
230,10/18/2011
257,10/18/2012
298,10/18/2013
387,10/18/2014
380,10/18/2015
330,10/18/2016
269,10/19/2011
321,10/19/2012
328,10/19/2013
384,10/19/2014
324,10/19/2015
356,10/19/2016
269,10/20/2011
287,10/20/2012
294,10/20/2013
352,10/20/2014
350,10/20/2015
354,10/20/2016
258,10/21/2011
272,10/21/2012
294,10/21/2013
308,10/21/2014
366,10/21/2015
466,10/21/2016
283,10/22/2011
284,10/22/2012
271,10/22/2013
317,10/22/2014
344,10/22/2015
387,10/22/2016
254,10/23/2011
261,10/23/2012
304,10/23/2013
362,10/23/2014
348,10/23/2015
291,10/23/2016
264,10/24/2011
306,10/24/2012
279,10/24/2013
372,10/24/2014
376,10/24/2015
421,10/24/2016
263,10/25/2011
252,10/25/2012
329,10/25/2013
360,10/25/2014
361,10/25/2015
328,10/25/2016
259,10/26/2011
258,10/26/2012
280,10/26/2013
366,10/26/2014
377,10/26/2015
377,10/26/2016
247,10/27/2011
289,10/27/2012
307,10/27/2013
264,10/27/2014
348,10/27/2015
442,10/27/2016
250,10/28/2011
296,10/28/2012
277,10/28/2013
311,10/28/2014
334,10/28/2015
402,10/28/2016
313,10/29/2011
236,10/29/2012
253,10/29/2013
321,10/29/2014
354,10/29/2015
396,10/29/2016
283,10/30/2011
308,10/30/2012
267,10/30/2013
333,10/30/2014
383,10/30/2015
420,10/30/2016
272,10/31/2011
279,10/31/2012
273,10/31/2013
317,10/31/2014
384,10/31/2015
379,10/31/2016
251,11/01/2011
297,11/01/2012
333,11/01/2013
364,11/01/2014
456,11/01/2015
377,11/01/2016
262,11/02/2011
292,11/02/2012
311,11/02/2013
306,11/02/2014
368,11/02/2015
368,11/02/2016
265,11/03/2011
298,11/03/2012
274,11/03/2013
290,11/03/2014
401,11/03/2015
381,11/03/2016
286,11/04/2011
247,11/04/2012
244,11/04/2013
321,11/04/2014
321,11/04/2015
384,11/04/2016
273,11/05/2011
280,11/05/2012
282,11/05/2013
318,11/05/2014
405,11/05/2015
319,11/05/2016
288,11/06/2011
271,11/06/2012
252,11/06/2013
348,11/06/2014
386,11/06/2015
347,11/06/2016
253,11/07/2011
270,11/07/2012
313,11/07/2013
366,11/07/2014
327,11/07/2015
366,11/07/2016
244,11/08/2011
273,11/08/2012
332,11/08/2013
358,11/08/2014
331,11/08/2015
397,11/08/2016
252,11/09/2011
282,11/09/2012
301,11/09/2013
284,11/09/2014
331,11/09/2015
388,11/09/2016
239,11/10/2011
310,11/10/2012
290,11/10/2013
347,11/10/2014
402,11/10/2015
348,11/10/2016
285,11/11/2011
246,11/11/2012
263,11/11/2013
291,11/11/2014
341,11/11/2015
413,11/11/2016
258,11/12/2011
274,11/12/2012
306,11/12/2013
331,11/12/2014
337,11/12/2015
369,11/12/2016
239,11/13/2011
275,11/13/2012
275,11/13/2013
318,11/13/2014
363,11/13/2015
346,11/13/2016
262,11/14/2011
247,11/14/2012
290,11/14/2013
341,11/14/2014
410,11/14/2015
403,11/14/2016
268,11/15/2011
264,11/15/2012
312,11/15/2013
277,11/15/2014
382,11/15/2015
397,11/15/2016
244,11/16/2011
291,11/16/2012
278,11/16/2013
291,11/16/2014
370,11/16/2015
337,11/16/2016
277,11/17/2011
299,11/17/2012
271,11/17/2013
301,11/17/2014
305,11/17/2015
330,11/17/2016
309,11/18/2011
288,11/18/2012
277,11/18/2013
299,11/18/2014
389,11/18/2015
353,11/18/2016
263,11/19/2011
281,11/19/2012
280,11/19/2013
298,11/19/2014
375,11/19/2015
313,11/19/2016
233,11/20/2011
291,11/20/2012
357,11/20/2013
297,11/20/2014
343,11/20/2015
383,11/20/2016
237,11/21/2011
286,11/21/2012
310,11/21/2013
369,11/21/2014
382,11/21/2015
346,11/21/2016
231,11/22/2011
243,11/22/2012
254,11/22/2013
357,11/22/2014
359,11/22/2015
329,11/22/2016
274,11/23/2011
231,11/23/2012
264,11/23/2013
325,11/23/2014
348,11/23/2015
377,11/23/2016
242,11/24/2011
245,11/24/2012
258,11/24/2013
265,11/24/2014
356,11/24/2015
277,11/24/2016
195,11/25/2011
283,11/25/2012
254,11/25/2013
286,11/25/2014
305,11/25/2015
345,11/25/2016
245,11/26/2011
219,11/26/2012
227,11/26/2013
322,11/26/2014
315,11/26/2015
299,11/26/2016
238,11/27/2011
263,11/27/2012
277,11/27/2013
217,11/27/2014
329,11/27/2015
357,11/27/2016
244,11/28/2011
257,11/28/2012
250,11/28/2013
296,11/28/2014
359,11/28/2015
358,11/28/2016
248,11/29/2011
267,11/29/2012
288,11/29/2013
344,11/29/2014
355,11/29/2015
322,11/29/2016
267,11/30/2011
294,11/30/2012
284,11/30/2013
280,11/30/2014
383,11/30/2015
346,11/30/2016
293,12/01/2011
327,12/01/2012
239,12/01/2013
327,12/01/2014
319,12/01/2015
327,12/01/2016
255,12/02/2011
276,12/02/2012
295,12/02/2013
311,12/02/2014
360,12/02/2015
433,12/02/2016
297,12/03/2011
276,12/03/2012
306,12/03/2013
322,12/03/2014
353,12/03/2015
388,12/03/2016
286,12/04/2011
286,12/04/2012
276,12/04/2013
320,12/04/2014
403,12/04/2015
369,12/04/2016
270,12/05/2011
274,12/05/2012
287,12/05/2013
369,12/05/2014
399,12/05/2015
417,12/05/2016
270,12/06/2011
277,12/06/2012
289,12/06/2013
386,12/06/2014
336,12/06/2015
367,12/06/2016
299,12/07/2011
267,12/07/2012
336,12/07/2013
332,12/07/2014
364,12/07/2015
319,12/07/2016
256,12/08/2011
314,12/08/2012
288,12/08/2013
339,12/08/2014
362,12/08/2015
348,12/08/2016
302,12/09/2011
262,12/09/2012
284,12/09/2013
308,12/09/2014
345,12/09/2015
387,12/09/2016
268,12/10/2011
285,12/10/2012
288,12/10/2013
327,12/10/2014
419,12/10/2015
357,12/10/2016
285,12/11/2011
292,12/11/2012
284,12/11/2013
334,12/11/2014
406,12/11/2015
350,12/11/2016
226,12/12/2011
279,12/12/2012
314,12/12/2013
395,12/12/2014
369,12/12/2015
387,12/12/2016
259,12/13/2011
289,12/13/2012
339,12/13/2013
306,12/13/2014
375,12/13/2015
357,12/13/2016
271,12/14/2011
317,12/14/2012
333,12/14/2013
290,12/14/2014
383,12/14/2015
334,12/14/2016
282,12/15/2011
329,12/15/2012
270,12/15/2013
353,12/15/2014
354,12/15/2015
367,12/15/2016
272,12/16/2011
298,12/16/2012
319,12/16/2013
341,12/16/2014
356,12/16/2015
456,12/16/2016
274,12/17/2011
300,12/17/2012
293,12/17/2013
297,12/17/2014
380,12/17/2015
417,12/17/2016
280,12/18/2011
282,12/18/2012
285,12/18/2013
334,12/18/2014
431,12/18/2015
434,12/18/2016
245,12/19/2011
287,12/19/2012
323,12/19/2013
389,12/19/2014
345,12/19/2015
439,12/19/2016
253,12/20/2011
313,12/20/2012
326,12/20/2013
338,12/20/2014
324,12/20/2015
403,12/20/2016
245,12/21/2011
312,12/21/2012
271,12/21/2013
311,12/21/2014
349,12/21/2015
362,12/21/2016
250,12/22/2011
301,12/22/2012
307,12/22/2013
321,12/22/2014
309,12/22/2015
382,12/22/2016
258,12/23/2011
289,12/23/2012
317,12/23/2013
308,12/23/2014
356,12/23/2015
368,12/23/2016
233,12/24/2011
256,12/24/2012
264,12/24/2013
288,12/24/2014
291,12/24/2015
353,12/24/2016
195,12/25/2011
227,12/25/2012
201,12/25/2013
276,12/25/2014
304,12/25/2015
290,12/25/2016
227,12/26/2011
238,12/26/2012
238,12/26/2013
350,12/26/2014
305,12/26/2015
343,12/26/2016
245,12/27/2011
270,12/27/2012
306,12/27/2013
324,12/27/2014
351,12/27/2015
339,12/27/2016
253,12/28/2011
294,12/28/2012
237,12/28/2013
323,12/28/2014
371,12/28/2015
337,12/28/2016
289,12/29/2011
307,12/29/2012
264,12/29/2013
331,12/29/2014
332,12/29/2015
365,12/29/2016
270,12/30/2011
309,12/30/2012
307,12/30/2013
338,12/30/2014
322,12/30/2015
407,12/30/2016
288,12/31/2011
335,12/31/2012
343,12/31/2013
385,12/31/2014
378,12/31/2015
373,12/31/2016
