ds,t,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,seasonal_lower,seasonal_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
2011-01-01,0.0,266.0948126131247,230.08469155186467,304.1549841654001,266.0948126131247,266.0948126131247,0.8617722419878051,0.8617722419878051,14.749958873371968,14.749958873371968,14.749958873371968,-13.888186631384162,-13.888186631384162,-13.888186631384162,0.861772241987806,266.9565848551125
2011-01-02,4.5641259698767686e-4,266.1358901018368,216.51600943233208,288.0059906033946,266.1358901018368,266.1358901018368,-14.423418498426837,-14.423418498426837,-0.12899635504201498,-0.12899635504201498,-0.12899635504201498,-14.294422143384821,-14.294422143384821,-14.294422143384821,-14.423418498426836,251.71247160341
2011-01-03,9.128251939753537e-4,266.176967590549,207.5946614849537,280.16490364923527,266.176967590549,266.176967590549,-21.270505863184454,-21.270505863184454,-6.5545208007286435,-6.5545208007286435,-6.5545208007286435,-14.715985062455811,-14.715985062455811,-14.715985062455811,-21.270505863184454,244.90646172736456
2011-01-04,0.0013692377909630307,266.2180450792611,202.0088963780868,275.07716238152307,266.2180450792611,266.2180450792611,-26.20424238833814,-26.20424238833814,-11.05344661251638,-11.05344661251638,-11.05344661251638,-15.150795775821772,-15.150795775821772,-15.150795775821772,-26.20424238833815,240.01380269092297
2011-01-05,0.0018256503879507074,266.2591225679733,207.96211403064163,279.16177289600716,266.2591225679733,266.2591225679733,-23.2895960892521,-23.2895960892521,-7.692906342500839,-7.692906342500839,-7.692906342500839,-15.596689746751265,-15.596689746751265,-15.596689746751265,-23.289596089252104,242.96952647872118
2011-01-06,0.0022820629849383844,266.3002000566854,210.41901375014643,283.58852030564566,266.3002000566854,266.3002000566854,-19.386905043398105,-19.386905043398105,-3.3355590299046405,-3.3355590299046405,-3.3355590299046405,-16.051346013493465,-16.051346013493465,-16.051346013493465,-19.386905043398105,246.9132950132873
2011-01-07,0.0027384755819260614,266.3412775453976,223.42860817501546,300.1712468189263,266.3412775453976,266.3412775453976,-2.4967555892098536,-2.4967555892098536,14.015470267325302,14.015470267325302,14.015470267325302,-16.512225856535153,-16.512225856535153,-16.512225856535153,-2.496755589209851,263.84452195618775
2011-01-08,0.003194888178913738,266.3823550341097,226.87751945607792,301.5793875720412,266.3823550341097,266.3823550341097,-2.2265663875838198,-2.2265663875838198,14.74995887337254,14.74995887337254,14.74995887337254,-16.97652526095636,-16.97652526095636,-16.97652526095636,-2.226566387583821,264.1557886465259
2011-01-09,0.003651300775901415,266.42343252282194,210.3129726205167,284.5277976076849,266.42343252282194,266.42343252282194,-17.570140537715105,-17.570140537715105,-0.12899635501368553,-0.12899635501368553,-0.12899635501368553,-17.44114418270142,-17.44114418270142,-17.44114418270142,-17.57014053771511,248.85329198510684
2011-01-10,0.004107713372889092,266.46451001153406,206.0857782323967,279.21781646531383,266.46451001153406,266.46451001153406,-24.457195696170604,-24.457195696170604,-6.554520800729084,-6.554520800729084,-6.554520800729084,-17.902674895441525,-17.902674895441525,-17.902674895441525,-24.457195696170608,242.00731431536346
